object 0	1.0:1.0
5.0 0.994976620832 1.0
152.0 1.01685087993 1.0
73.0 0.987303198027 1.0
82.0 0.990155314769 1.0
77.0 1.00120512955 1.0
127.0 1.04375926122 1.0
83.0 0.978941406537 1.0
53.0 0.983554756799 1.0
177.0 8.3850149713 1.0
object 1	1.0:1.0
66.0 0.986769975088 1.0
81.0 0.975586320589 1.0
96.0 1.01418473359 1.0
147.0 0.98474612628 1.0
160.0 -0.640402924629 1.0
197.0 4.61638198703 1.0
188.0 3.50795257266 1.0
object 2	1.0:1.0
78.0 1.05653963337 1.0
183.0 -2.0044896338 1.0
86.0 1.00932010422 1.0
149.0 1.0407810989 1.0
70.0 1.02746857671 1.0
100.0 1.03507822576 1.0
84.0 1.00810677648 1.0
71.0 0.995297149078 1.0
25.0 1.01602815267 1.0
object 3	1.0:1.0
162.0 -3.06931431231 1.0
54.0 1.03452603784 1.0
7.0 1.04534079631 1.0
179.0 -0.532271742925 1.0
142.0 1.03916718539 1.0
95.0 1.0015740261 1.0
103.0 0.997332935772 1.0
151.0 0.944447955324 1.0
22.0 0.987416316761 1.0
object 4	1.0:1.0
79.0 0.953064550214 1.0
68.0 0.993320043221 1.0
89.0 1.00829138536 1.0
142.0 1.07733114601 1.0
125.0 0.970040946068 1.0
169.0 4.49505557131 1.0
43.0 0.951316109432 1.0
73.0 0.993165461786 1.0
object 5	1.0:1.0
68.0 0.991442166913 1.0
83.0 0.985838943364 1.0
184.0 2.5883948258 1.0
7.0 1.00792781183 1.0
44.0 0.984813399761 1.0
45.0 1.00094631452 1.0
61.0 0.959632660606 1.0
144.0 1.02554812643 1.0
138.0 0.983188309064 1.0
40.0 1.0195180337 1.0
165.0 1.16548678387 1.0
34.0 1.01389235458 1.0
67.0 0.954930658129 1.0
146.0 1.09869216797 1.0
100.0 0.989719122184 1.0
104.0 1.00314458211 1.0
49.0 0.999768875667 1.0
99.0 0.992544733097 1.0
32.0 1.07253028775 1.0
object 6	1.0:1.0
69.0 1.00511149418 1.0
164.0 -1.68407960814 1.0
167.0 -1.60053518447 1.0
2.0 0.982350435206 1.0
118.0 0.999737930597 1.0
189.0 -0.507571738429 1.0
4.0 1.02466329291 1.0
40.0 1.00098994435 1.0
61.0 0.963542326873 1.0
41.0 0.990276658717 1.0
object 7	1.0:1.0
136.0 1.05443144078 1.0
33.0 1.01995522435 1.0
62.0 1.02996408648 1.0
15.0 0.973263665427 1.0
146.0 0.941955791082 1.0
65.0 1.00364775632 1.0
158.0 0.981269671365 1.0
187.0 0.488352091369 1.0
99.0 1.02722907235 1.0
143.0 0.939228874294 1.0
object 8	1.0:1.0
177.0 4.49864055894 1.0
47.0 0.971419309737 1.0
148.0 1.03429630283 1.0
150.0 0.979050028143 1.0
59.0 1.0100227364 1.0
78.0 0.913395536457 1.0
60.0 1.11813943704 1.0
object 9	1.0:1.0
44.0 1.00556575923 1.0
181.0 0.146319860288 1.0
134.0 1.0021872506 1.0
60.0 0.996558681569 1.0
145.0 0.963326528474 1.0
69.0 1.00414757058 1.0
183.0 0.333470438016 1.0
137.0 1.03300378719 1.0
object 10	1.0:1.0
198.0 -2.45225566985 1.0
146.0 1.02712114313 1.0
165.0 -1.85418170847 1.0
99.0 0.933754179977 1.0
74.0 0.913840103619 1.0
147.0 1.00740995471 1.0
117.0 0.934168386341 1.0
196.0 3.44981244422 1.0
138.0 1.00368207523 1.0
120.0 0.953911086696 1.0
148.0 0.971048172831 1.0
object 11	1.0:1.0
41.0 1.05476047054 1.0
95.0 0.973388796897 1.0
108.0 0.959116733468 1.0
176.0 8.77969291524 1.0
74.0 0.906416101762 1.0
183.0 -0.908462843189 1.0
128.0 0.963876249883 1.0
object 12	1.0:1.0
27.0 0.998387324006 1.0
57.0 1.00320157621 1.0
46.0 1.01305344033 1.0
118.0 0.999517965728 1.0
object 13	1.0:1.0
76.0 0.956585105944 1.0
154.0 0.995307588041 1.0
109.0 1.0699696528 1.0
80.0 0.982324226954 1.0
16.0 1.04735898134 1.0
125.0 1.01418052364 1.0
186.0 3.93091761049 1.0
0.0 1.01356107219 1.0
object 14	1.0:1.0
8.0 0.984837064852 1.0
67.0 1.00180482918 1.0
131.0 1.00898601495 1.0
0.0 0.951878058744 1.0
170.0 0.732148557297 1.0
object 15	1.0:1.0
156.0 1.01256919601 1.0
192.0 -3.54574062265 1.0
34.0 1.04589438312 1.0
136.0 0.984241143259 1.0
175.0 -6.98726442094 1.0
12.0 1.00119942715 1.0
22.0 1.01389658503 1.0
73.0 0.998410791367 1.0
155.0 0.993364143209 1.0
132.0 1.01047846367 1.0
183.0 -0.407320988544 1.0
164.0 5.72651611487 1.0
105.0 0.932593792249 1.0
62.0 1.02955282332 1.0
object 16	1.0:1.0
198.0 2.17950224848 1.0
74.0 0.955868857525 1.0
143.0 0.9328280637 1.0
23.0 1.02511957489 1.0
84.0 1.0795799433 1.0
123.0 1.01006057128 1.0
189.0 -0.910134252747 1.0
object 17	1.0:1.0
167.0 -1.90366179669 1.0
128.0 0.982745802442 1.0
59.0 0.984579360096 1.0
86.0 0.978055685656 1.0
175.0 -0.609863036357 1.0
54.0 0.95362964633 1.0
193.0 2.36950331415 1.0
20.0 1.01754347716 1.0
148.0 1.02708577566 1.0
25.0 0.98791029924 1.0
object 18	1.0:1.0
56.0 1.03398852086 1.0
174.0 0.947297670445 1.0
151.0 0.946062968738 1.0
196.0 -5.62617791553 1.0
33.0 0.998460082336 1.0
47.0 1.01355202096 1.0
16.0 1.03157481597 1.0
79.0 0.989352160153 1.0
54.0 0.989121513258 1.0
10.0 1.04018455832 1.0
15.0 0.996376147869 1.0
45.0 1.00697629336 1.0
60.0 1.12678058753 1.0
object 19	1.0:1.0
31.0 0.982958597409 1.0
19.0 0.983534741969 1.0
158.0 1.01043911345 1.0
191.0 1.69856612615 1.0
34.0 1.05643883273 1.0
95.0 0.9708773657 1.0
18.0 1.04810149214 1.0
166.0 1.54728757333 1.0
40.0 0.992615032924 1.0
113.0 0.944557089553 1.0
32.0 1.03466117845 1.0
24.0 1.03375559177 1.0
187.0 1.48893420618 1.0
object 20	1.0:1.0
117.0 1.00384387217 1.0
157.0 0.99329765233 1.0
185.0 -0.269030564317 1.0
66.0 1.08574019543 1.0
100.0 1.00549789184 1.0
72.0 0.966881248619 1.0
51.0 0.996644888589 1.0
36.0 0.998921926074 1.0
121.0 0.97824071465 1.0
64.0 0.919933386506 1.0
161.0 2.86481960768 1.0
object 21	1.0:1.0
152.0 0.950391200657 1.0
31.0 1.00544016725 1.0
90.0 0.982960577769 1.0
16.0 0.998722458928 1.0
138.0 1.0257731332 1.0
83.0 0.994980915371 1.0
165.0 1.33371251676 1.0
34.0 0.976121441653 1.0
96.0 0.972237958878 1.0
148.0 0.999642163904 1.0
176.0 11.615537297 1.0
object 22	1.0:1.0
35.0 1.01706434011 1.0
84.0 1.07725090956 1.0
154.0 1.0784496747 1.0
22.0 0.978641092515 1.0
49.0 1.0081508164 1.0
41.0 0.96695968343 1.0
176.0 10.7590933221 1.0
object 23	1.0:1.0
25.0 0.978634880895 1.0
92.0 0.984309761549 1.0
130.0 1.01627090518 1.0
139.0 0.984376809576 1.0
63.0 0.950139835004 1.0
62.0 1.03070799234 1.0
38.0 1.00518152833 1.0
129.0 1.03568271931 1.0
112.0 0.944569895358 1.0
71.0 1.04147684904 1.0
object 24	1.0:1.0
92.0 1.00747472919 1.0
163.0 -4.94901857923 1.0
146.0 0.993176422361 1.0
108.0 0.937328452312 1.0
132.0 1.05364460657 1.0
166.0 0.935633008749 1.0
object 25	1.0:1.0
156.0 0.982757940243 1.0
120.0 0.96216867173 1.0
60.0 0.967056971686 1.0
179.0 7.55536405282 1.0
194.0 2.37016396061 1.0
188.0 -2.77075364668 1.0
177.0 -2.87833438035 1.0
77.0 0.998852747723 1.0
190.0 1.33448682626 1.0
85.0 0.9559584504 1.0
27.0 0.964318766698 1.0
object 26	1.0:1.0
42.0 1.01408300814 1.0
127.0 0.972149578768 1.0
59.0 1.02862480816 1.0
118.0 0.985673361448 1.0
25.0 0.977792993061 1.0
43.0 1.04613127294 1.0
198.0 0.848964216507 1.0
111.0 0.989508562163 1.0
104.0 0.982830669449 1.0
object 27	1.0:1.0
0.0 1.01975553887 1.0
77.0 0.940781661436 1.0
55.0 0.991260181164 1.0
109.0 0.973786015762 1.0
154.0 1.09826187819 1.0
16.0 0.990060892657 1.0
78.0 1.01612374954 1.0
185.0 -2.54112345285 1.0
138.0 1.01347297851 1.0
23.0 1.01970956199 1.0
128.0 1.00106508463 1.0
53.0 0.996256958411 1.0
54.0 0.988640670816 1.0
object 28	1.0:1.0
71.0 0.956647832594 1.0
13.0 0.998416361062 1.0
67.0 1.0329639641 1.0
66.0 0.968208509131 1.0
127.0 0.965860683197 1.0
object 29	1.0:1.0
54.0 1.03169434323 1.0
162.0 -1.46739065306 1.0
124.0 1.02559734949 1.0
70.0 1.03910824984 1.0
9.0 1.01988638245 1.0
147.0 1.00285004029 1.0
7.0 0.938361971132 1.0
119.0 1.06271997215 1.0
43.0 0.968089372875 1.0
48.0 1.02925663801 1.0
99.0 0.99144166454 1.0
141.0 0.94772200298 1.0
object 30	1.0:1.0
106.0 0.965523359651 1.0
194.0 2.89292669316 1.0
116.0 1.03330577546 1.0
97.0 0.988665937437 1.0
180.0 0.931907283018 1.0
22.0 0.994524947686 1.0
142.0 0.992648972616 1.0
88.0 0.997538486078 1.0
6.0 1.05052239083 1.0
95.0 0.961697063651 1.0
object 31	1.0:1.0
6.0 1.01923743395 1.0
108.0 1.03225982663 1.0
41.0 1.07794149924 1.0
178.0 -2.2545598031 1.0
58.0 0.968609506619 1.0
45.0 0.985524124133 1.0
117.0 0.933367008237 1.0
192.0 -1.44620981068 1.0
124.0 0.974588791406 1.0
94.0 0.994022016134 1.0
155.0 0.997921417988 1.0
61.0 0.984196432009 1.0
28.0 1.06387617157 1.0
166.0 2.41542690988 1.0
162.0 -3.54635631371 1.0
114.0 1.01151600966 1.0
object 32	1.0:1.0
15.0 1.05359327902 1.0
98.0 0.982485905417 1.0
118.0 0.977603690353 1.0
6.0 1.04955583863 1.0
158.0 1.01253063219 1.0
195.0 -0.82229964461 1.0
object 33	1.0:1.0
117.0 0.992844462719 1.0
109.0 1.06738260574 1.0
22.0 1.01089534294 1.0
50.0 0.998739374673 1.0
72.0 0.99097692653 1.0
70.0 1.01020516449 1.0
140.0 0.992909743968 1.0
15.0 1.03615507366 1.0
object 34	1.0:1.0
129.0 1.00456739465 1.0
149.0 1.00868195809 1.0
9.0 1.04031805553 1.0
161.0 -1.05032037876 1.0
